iter	Passed	Remaining
0	260	260513
1	320	159969
2	381	126683
3	429	106906
4	476	94777
5	527	87422
6	588	83497
7	623	77335
8	673	74192
9	722	71507
10	772	69434
11	827	68098
12	876	66558
13	934	65833
14	1001	65759
15	1061	65311
16	1557	90037
17	1817	99178
18	1890	97585
19	1954	95755
20	2025	94427
21	2079	92460
22	2142	90989
23	2295	93355
24	2394	93395
25	2468	92491
26	2632	94861
27	2716	94297
28	2802	93826
29	2889	93438
30	2957	92430
31	3022	91421
32	3165	92755
33	3243	92147
34	3306	91169
35	3374	90367
36	3440	89551
37	3495	88499
38	3572	88018
39	3656	87745
40	3720	87024
41	3784	86330
42	3846	85605
43	3904	84826
44	3971	84285
45	4099	85016
46	4186	84880
47	4242	84146
48	4306	83572
49	4359	82830
50	4416	82177
51	4476	81613
52	4542	81172
53	4618	80904
54	4674	80308
55	4724	79640
56	4785	79165
57	4849	78760
58	4908	78285
59	4964	77778
60	5020	77281
61	5085	76932
62	5151	76617
63	5209	76185
64	5284	76009
65	5393	76327
66	5490	76460
67	5569	76338
68	5658	76353
69	5807	77153
70	5925	77526
71	5990	77213
72	6085	77283
73	6191	77474
74	6259	77196
75	6324	76889
76	6387	76563
77	6451	76264
78	6522	76044
79	6558	75426
80	6613	75033
81	6798	76114
82	6875	75961
83	6956	75861
84	7056	75959
85	7180	76308
86	7260	76197
87	7314	75807
88	7387	75615
89	7418	75010
90	7454	74465
91	7524	74262
92	7580	73926
93	7612	73372
94	7673	73100
95	7726	72761
96	7763	72275
97	7819	71968
98	7875	71673
99	7935	71419
100	7991	71131
101	8067	71028
102	8147	70951
103	8210	70735
104	8436	71907
105	8542	72048
106	8615	71906
107	8688	71758
108	8760	71613
109	8831	71453
110	8900	71287
111	8963	71066
112	9035	70927
113	9076	70540
114	9156	70464
115	9226	70310
116	9273	69986
117	9353	69910
118	9420	69742
119	9499	69665
120	9564	69484
121	9601	69097
122	9669	68945
123	9743	68829
124	9800	68604
125	9852	68339
126	9912	68141
127	9972	67936
128	10053	67880
129	10139	67858
130	10247	67980
131	10355	68091
132	10454	68152
133	10532	68065
134	10597	67905
135	10662	67739
136	10723	67551
137	10781	67348
138	10842	67161
139	10899	66954
140	10966	66809
141	11026	66626
142	11150	66824
143	11243	66839
144	11326	66788
145	11410	66745
146	11504	66758
147	11579	66662
148	11649	66536
149	11725	66443
150	11785	66264
151	11850	66114
152	11933	66061
153	11997	65910
154	12061	65755
155	12125	65602
156	12197	65495
157	12258	65325
158	12323	65183
159	12386	65031
160	12449	64877
161	12521	64774
162	12602	64711
163	12680	64637
164	12776	64655
165	12834	64481
166	12900	64350
167	12965	64210
168	13033	64089
169	13098	63953
170	13160	63803
171	13223	63657
172	13283	63499
173	13349	63372
174	13438	63351
175	13537	63381
176	13636	63407
177	13715	63337
178	13797	63284
179	13863	63156
180	13926	63015
181	13986	62862
182	14049	62723
183	14119	62617
184	14198	62551
185	14277	62481
186	14352	62398
187	14454	62431
188	14594	62623
189	14728	62788
190	14845	62881
191	14924	62807
192	14988	62671
193	15052	62536
194	15114	62395
195	15174	62244
196	15238	62113
197	15297	61961
198	15359	61825
199	15421	61685
200	15480	61537
201	15541	61395
202	15604	61266
203	15677	61171
204	15741	61048
205	15804	60914
206	15865	60779
207	16029	61035
208	16171	61202
209	16237	61082
210	16299	60948
211	16354	60789
212	16408	60626
213	16474	60508
214	16530	60357
215	16585	60198
216	16641	60045
217	16707	59930
218	16764	59787
219	16820	59637
220	16887	59526
221	16951	59405
222	16998	59227
223	17053	59078
224	17116	58958
225	17197	58896
226	17282	58851
227	17353	58759
228	17436	58705
229	17519	58650
230	17585	58542
231	17641	58399
232	17701	58269
233	17765	58154
234	17821	58013
235	17877	57875
236	17937	57748
237	17992	57605
238	18055	57489
239	18113	57359
240	18169	57224
241	18231	57105
242	18289	56975
243	18342	56832
244	18397	56693
245	18453	56559
246	18523	56471
247	18573	56319
248	18638	56215
249	18696	56088
250	18751	55956
251	18805	55820
252	18863	55694
253	18917	55560
254	18991	55484
255	19070	55423
256	19148	55360
257	19226	55294
258	19306	55235
259	19391	55189
260	19451	55075
261	19504	54941
262	19558	54807
263	19612	54676
264	19676	54574
265	19737	54463
266	19793	54338
267	19847	54210
268	19907	54096
269	19961	53970
270	20027	53873
271	20098	53792
272	20155	53673
273	20209	53546
274	20265	53428
275	20320	53303
276	20375	53181
277	20429	53057
278	20489	52948
279	20556	52858
280	20615	52750
281	20674	52640
282	20733	52530
283	20788	52410
284	20850	52309
285	20912	52206
286	20968	52091
287	21022	51972
288	21089	51883
289	21143	51765
290	21201	51656
291	21257	51543
292	21318	51441
293	21366	51308
294	21404	51153
295	21467	51056
296	21525	50951
297	21581	50839
298	21638	50730
299	21693	50618
300	21755	50521
301	21817	50425
302	21874	50317
303	21937	50225
304	21996	50123
305	22061	50035
306	22119	49931
307	22175	49822
308	22218	49685
309	22287	49606
310	22368	49555
311	22450	49506
312	22534	49460
313	22612	49402
314	22697	49358
315	22767	49281
316	22824	49176
317	22882	49076
318	22943	48979
319	23001	48877
320	23060	48778
321	23117	48676
322	23174	48572
323	23229	48466
324	23286	48365
325	23344	48263
326	23400	48161
327	23458	48060
328	23549	48029
329	23608	47931
330	23664	47828
331	23720	47727
332	23785	47641
333	23842	47543
334	23888	47420
335	23947	47324
336	23990	47197
337	24053	47110
338	24111	47013
339	24168	46914
340	24226	46818
341	24282	46719
342	24338	46618
343	24395	46522
344	24452	46423
345	24509	46326
346	24569	46236
347	24645	46174
348	24711	46095
349	24762	45987
350	24821	45895
351	24874	45792
352	24938	45707
353	24987	45598
354	25045	45504
355	25101	45409
356	25175	45344
357	25246	45274
358	25324	45216
359	25386	45132
360	25433	45019
361	25499	44940
362	25569	44870
363	25629	44781
364	25685	44686
365	25741	44590
366	25796	44493
367	25839	44376
368	25911	44310
369	25991	44255
370	26053	44171
371	26141	44131
372	26227	44087
373	26318	44051
374	26382	43971
375	26427	43859
376	26483	43764
377	26548	43684
378	26608	43597
379	26662	43502
380	26726	43421
381	26783	43330
382	26869	43286
383	26939	43216
384	27008	43143
385	27064	43050
386	27124	42964
387	27173	42861
388	27220	42754
389	27276	42663
390	27339	42582
391	27397	42493
392	27461	42415
393	27537	42354
394	27595	42265
395	27651	42175
396	27707	42085
397	27770	42005
398	27828	41917
399	27881	41821
400	27942	41739
401	27997	41648
402	28055	41560
403	28104	41460
404	28160	41372
405	28212	41276
406	28256	41169
407	28312	41080
408	28372	40997
409	28417	40892
410	28474	40806
411	28530	40718
412	28586	40630
413	28650	40553
414	28694	40449
415	28740	40347
416	28810	40279
417	28866	40191
418	28910	40087
419	28966	40000
420	29007	39894
421	29050	39789
422	29092	39684
423	29169	39626
424	29250	39574
425	29311	39494
426	29399	39452
427	29478	39396
428	29565	39351
429	29630	39277
430	29693	39201
431	29755	39123
432	29810	39035
433	29866	38950
434	29910	38849
435	29961	38757
436	30009	38662
437	30065	38577
438	30119	38489
439	30174	38404
440	30232	38322
441	30288	38237
442	30340	38148
443	30397	38065
444	30440	37965
445	30501	37888
446	30564	37812
447	30611	37717
448	30665	37631
449	30710	37535
450	30764	37449
451	30824	37370
452	30890	37300
453	30949	37220
454	31010	37144
455	31074	37070
456	31158	37021
457	31244	36974
458	31339	36938
459	31397	36857
460	31448	36769
461	31501	36683
462	31558	36601
463	31616	36522
464	31672	36440
465	31731	36362
466	31775	36266
467	31819	36170
468	31861	36073
469	31915	35989
470	31987	35926
471	32052	35855
472	32110	35775
473	32174	35703
474	32235	35628
475	32299	35556
476	32368	35489
477	32432	35417
478	32474	35321
479	32518	35228
480	32562	35135
481	32604	35039
482	32654	34953
483	32700	34862
484	32745	34770
485	32786	34675
486	32844	34597
487	32888	34506
488	32946	34428
489	32993	34339
490	33049	34261
491	33101	34177
492	33162	34104
493	33233	34040
494	33300	33973
495	33400	33939
496	33491	33895
497	33576	33846
498	33649	33784
499	33738	33738
500	33845	33710
501	33937	33667
502	34020	33615
503	34127	33586
504	34255	33576
505	34318	33504
506	34382	33433
507	34519	33432
508	34619	33395
509	34664	33304
510	34711	33217
511	34771	33141
512	34817	33053
513	34862	32963
514	34901	32868
515	34942	32775
516	35078	32771
517	35122	32681
518	35178	32602
519	35224	32514
520	35266	32423
521	35306	32330
522	35347	32238
523	35398	32155
524	35441	32065
525	35485	31977
